"name","main_category","ratings","discount_price","actual_price"
KGr Splash Round Shape Faux Pearl Diamond Studded Multicolour Hijab Pins | Brooch for Women (Pack of 12),accessories,5.0,249.0,250.0
Jockey Men's Cotton Trunks (8901326060513_8015-0110- Grey Melange_Large),men's clothing,5.0,279.0,280.0
Levi's Men Brief,men's clothing,5.0,289.0,290.0
Astroghar Natural Clear Quartz Crystal Wire Wrapped Pendant for Men & Women,accessories,5.0,299.0,300.0
ASTROGHAR Natural Golden Pyrite Wealth Finance Crystal Raw Rough Chunk Key Chain Key Ring For Chakra And Reiki Healing,accessories,5.0,299.0,300.0
Rupa Men Trunks,men's clothing,5.0,370.0,371.0
"Lux Cozi Cotton Vest RN for Men Innerwear for Men Regular Fit Vest (Pack of 3, White) (Large)",men's clothing,5.0,370.0,372.0
Jockey Men's Cotton Brief (Pack of 2) (8901326065730_8037_Large_Mid Blue),men's clothing,5.0,398.0,399.0
"Nivia 2280-3 Nitro-4 Polyester Casual Round T-Shirt, XXL (Dark Grey)",men's clothing,5.0,398.0,399.0
Axter Men's (303-9311) Casual Sports Running Shoes (Set of 2 Pair),men's shoes,5.0,406.0,407.0
"Van Heusen Men Briefs - Cotton Elastane - Colour Fresh, Cotton Stretch , Label Free",men's clothing,5.0,427.0,429.0
Figure Fit Women's Seamless Everyday Padded Wireless T-Shirt Bra,women's clothing,5.0,498.0,500.0
"Teenager Bra Women's Cotton Non Padded Wired Regular, Full-Coverage Bra Pack of 3 (SBP)",women's clothing,5.0,511.0,516.0
"Teenager Bra Women's Cotton Non Padded Wired Regular, Full-Coverage Bra Pack of 3 (SBM)",women's clothing,5.0,511.0,516.0
Jack & Jones Men's Trunks,men's clothing,5.0,548.0,549.0
Jockey Men's Cotton Bikini Brief (Pack of 2),men's clothing,5.0,548.0,549.0
"Jockey Men's Spandex, Cotton, Cotton Blend Brief (Pack Of 2) (Multicolor_M)",men's clothing,5.0,545.0,549.0
Jockey Men's Cotton Brief (Pack of 2) #Style 8008_Estate Blue_XL-100cm to 105cm,men's clothing,5.0,555.0,560.0
Axter Men's Multi-Coloured Canvas Casual Shoes/Loafers - Pack of 3 (Combo-(3)-1012-5011-303),men's shoes,5.0,569.0,570.0
"Levi's-Men-Innerwear-(Category)-BRIEF- (Style ID)-#011-BRIEF-BLK/RED-P2-(Color)-BLACK,RED-(Size)-L",men's clothing,5.0,565.0,570.0
Jockey Men's Cotton Trunk International 8901326120507 IC-28-Potent Purple Ultra Soft Trunk,men's clothing,5.0,599.0,600.0
Jockey Men's Microfiber Regular Trunk,men's clothing,5.0,695.0,699.0
Lux Cozi Men's Solid Vest_Pack of 4,men's clothing,5.0,719.0,720.0
VIP Frenchie Plus Men's Cotton Brief Elastic Waistband Solid Innerwear Assorted Colours Combo Pack of 6,men's clothing,5.0,725.0,730.0
SEGA New Runner Men Running Sport Shoes (Black Brown White),men's shoes,5.0,740.0,745.0
"SEGA by Star Impact Pvt. Ltd. Men's Marathon Jogging/Multipurpose Shoe (Red, Numeric_8)",men's shoes,5.0,739.0,745.0
"SEGA Men's Marathon Jogging/Multipurpose Shoe by Star Impact Pvt. Ltd. (Red, Numeric_10)",men's shoes,5.0,739.0,745.0
"Kuber Industries 2 Pieces Rexine Jumbo Attachi Bag Travel Handbag Storage Carrying Bag, Blanket Cover, Duffle, Travel Mult...",accessories,5.0,748.0,749.0
"SEGA World Cup Edition Shoes Star Impact PVT LTD (RED, Numeric_10)",men's shoes,5.0,745.0,750.0
ONN Men's Floral Cotton Boxers (Colors May Vary),men's clothing,5.0,745.0,750.0
Jockey Men's Cotton Briefs (Pack of 4) (8035-4-XL_Multicolours_XL),men's clothing,5.0,750.0,756.0
Jockey Women's Regular Fit T-Shirt,women's clothing,5.0,878.0,879.0
Pepe Jeans Innerwear Men Shorts,men's clothing,5.0,998.0,999.0
BATA Men's Footthrill Slip On Sneaker Walking Shoes Black-UK/in-8,men's shoes,5.0,998.0,999.0
BATA Men's Formal Lace Up Shoes,men's shoes,5.0,994.0,999.0
Pepe Jeans Men's Slim Fit T-Shirt,men's clothing,5.0,1048.0,1049.0
Jockey Men's Cotton Briefs (Pack of 4) (8901326084489_Color May Vary_Large),men's clothing,5.0,1149.0,1156.0
"Jockey Women Shpaer Bra - 1722, Size 38C - Colour: Black, Skin (Pack of 2)",women's clothing,5.0,1158.0,1159.0
Lee Men T-Shirt,men's clothing,5.0,1198.0,1199.0
BATA Men's Formal Lace-Ups Shoes,men's shoes,5.0,1197.0,1199.0
ABHIPRI Men's Cotton Jaipuri Print Half Sleeve Regular Fit Casual Shirt,men's clothing,5.0,1199.0,1200.0
"Samson Thigh Corset (SMART SHAPER) - Firm Compression Helps with Slimming, Supports Lower Abdomen, Hips & Thigs (Made with...",women's clothing,5.0,1287.0,1290.0
Men's Touch05 Black Synthetic Running Shoes - 7,men's shoes,5.0,1385.0,1389.0
Jockey POP Men Plain Modern Briefs (#FP02),men's clothing,5.0,1487.0,1494.0
The Souled Store Men Tie Dye: Grey Multicolored Solid Men Co-ord Sets,women's clothing,5.0,1488.0,1499.0
Macroman M-Series Valentino M 571 Men's Trunk Pack of 6 (Size-110-115cm) XX-Large in Assorted Colours,men's clothing,5.0,1499.0,1500.0
Jockey Men Round Neck Full Sleeves White Thermal Upper Vest - Pack of 2 (#2401),men's clothing,5.0,1558.0,1559.0
Pepe Jeans Innerwear Men T-Shirt,men's clothing,5.0,1598.0,1599.0
Pepe Jeans Men's Regular Fit Shirt,men's clothing,5.0,1798.0,1799.0
Power Men N Walk Calm Grey Trekking Shoes6 UK (8082343),men's shoes,5.0,1998.0,1999.0
