"main_category","sub_category","average_rating"
accessories,Bags & Luggage,4.002645280986279
accessories,Fashion & Silver Jewellery,3.8982588849038073
accessories,Gold & Diamond Jewellery,3.922730241672111
accessories,Handbags & Clutches,3.904982445656227
accessories,Jewellery,3.8134522160664726
accessories,Sunglasses,3.9827922077922056
accessories,Watches,3.838257531697103
men's clothing,Innerwear,3.784004664932269
men's clothing,Jeans,3.5558300896936994
men's clothing,Shirts,3.7592237861247444
men's clothing,T-shirts & Polos,3.8518292682926782
men's shoes,Casual Shoes,3.5987073024569938
men's shoes,Formal Shoes,3.572559823677579
men's shoes,Sports Shoes,3.718129614438074
women's clothing,Clothing,3.7959659219137767
women's clothing,Ethnic Wear,3.7283210677310548
women's clothing,Lingerie & Nightwear,3.762844909609868
women's clothing,Western Wear,3.774102006902714
women's shoes,Ballerinas,3.541558441558442
women's shoes,Fashion Sandals,3.6077976817702804
women's shoes,Shoes,3.7706787963610897
